
2023/05/15 (16:52:38) | ===> btop++ v.1.2.13
2023/05/15 (16:52:38) | INFO: Logger set to INFO
2023/05/15 (16:52:38) | INFO: Logger set to DEBUG
2023/05/15 (16:52:39) | INFO: Logger set to INFO

2024/01/29 (17:37:17) | ===> btop++ v.1.3.0
2024/01/29 (17:37:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/29 (17:37:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/13 (23:09:49) | ===> btop++ v.1.3.2
2024/08/13 (23:09:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/13 (23:09:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/14 (00:24:56) | ===> btop++ v.1.3.2
2024/08/14 (00:24:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/14 (00:24:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/14 (12:40:30) | ===> btop++ v.1.3.2
2024/08/14 (12:40:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/14 (12:40:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/14 (14:00:30) | ===> btop++ v.1.3.2
2024/08/14 (14:00:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/14 (14:00:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/14 (14:01:41) | ===> btop++ v.1.3.2
2024/08/14 (14:01:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/14 (14:01:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/15 (23:01:25) | ===> btop++ v.1.3.2
2024/08/15 (23:01:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/15 (23:01:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/16 (00:02:25) | ===> btop++ v.1.3.2
2024/08/16 (00:02:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/16 (00:02:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/17 (10:38:15) | ===> btop++ v.1.3.2
2024/08/17 (10:38:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/17 (10:38:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/01 (13:51:52) | ===> btop++ v.1.3.2
2024/09/01 (13:51:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/01 (13:51:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/05 (19:50:38) | ===> btop++ v.1.3.2
2024/09/05 (19:50:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/05 (19:50:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/29 (00:00:13) | ===> btop++ v.1.4.0
2024/12/29 (00:00:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/29 (00:00:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/29 (00:00:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (20:11:41) | ===> btop++ v.1.4.0
2024/12/29 (20:11:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/29 (20:11:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/29 (20:11:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (23:54:05) | ===> btop++ v.1.4.0
2025/01/05 (23:54:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/05 (23:54:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/05 (23:54:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (17:29:36) | ===> btop++ v.1.4.0
2025/01/11 (17:29:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (17:29:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/11 (17:29:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (18:53:53) | ===> btop++ v.1.4.0
2025/01/13 (18:53:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/13 (18:53:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/13 (18:53:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (18:54:08) | ===> btop++ v.1.4.0
2025/01/13 (18:54:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/13 (18:54:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/13 (18:54:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (19:02:28) | ===> btop++ v.1.4.0
2025/01/13 (19:02:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/13 (19:02:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/13 (19:02:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (19:03:46) | ===> btop++ v.1.4.0
2025/01/13 (19:03:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/13 (19:03:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/13 (19:03:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (18:50:25) | ===> btop++ v.1.4.0
2025/01/14 (18:50:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/14 (18:50:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/14 (18:50:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (18:51:29) | ===> btop++ v.1.4.0
2025/01/14 (18:51:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/14 (18:51:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/14 (18:51:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (18:07:52) | ===> btop++ v.1.4.0
2025/01/17 (18:07:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/17 (18:07:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/17 (18:07:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (20:49:11) | ===> btop++ v.1.4.0
2025/01/17 (20:49:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (20:49:35) | ===> btop++ v.1.4.0
2025/01/17 (20:49:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (20:50:49) | ===> btop++ v.1.4.0
2025/01/17 (20:50:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (20:54:07) | ===> btop++ v.1.4.0
2025/01/17 (20:54:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (21:49:59) | ===> btop++ v.1.4.0
